"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2037430492786831839","Fri Mar 27 07:24:17 +0000 2026","0","mixue - nyobain mixue yg taro karna lg cape nugas diperpus trus dipesenin ini sm my boyfiee - rasanya ya kaya taro pada umumnya tapi ini full banget 1 cup good job mixue klo org jawa blg marem - ratingnya 7/10 https://t.co/TJNbvkDYXh","2037430492786831839","https://pbs.twimg.com/media/HEZoNUTaEAAiS3O.jpg","","in","","0","0","0","https://x.com/undefined/status/2037430492786831839","1410202363218960388",
"2037190473954234682","Thu Mar 26 15:30:32 +0000 2026","0","gila gw seharian cape bgt acara keluarga nugas rapat abistu dikasih kek gini langsung ilang capenya https://t.co/kKZj8Wstoj","2037190473954234682","https://pbs.twimg.com/amplify_video_thumb/2037132392255885312/img/0VG1_FPpi8AYY-sa.jpg","","in","","0","0","0","https://x.com/undefined/status/2037190473954234682","1342439817771065344",
"2037190296405237911","Thu Mar 26 15:29:50 +0000 2026","0","tugas udah selesai hujan besok free saat nya tidur. besok bangun siang aja ah cape juga jadi morning person karna mau nugas...","2037190296405237911","","","in","","0","0","0","https://x.com/undefined/status/2037190296405237911","1435497496424304642",
"2037175809375690777","Thu Mar 26 14:32:16 +0000 2026","0","Cape bgt nugas dari siang niat buka tl bentar ternyata makin panas anjir","2037175809375690777","","","in","","0","0","0","https://x.com/undefined/status/2037175809375690777","1507638816378847236",
"2037045568384753699","Thu Mar 26 05:54:44 +0000 2026","0","Yuk yang cape nugas sung joki sini. OPEN JOKI SPESS HUKUM &amp; SOSHUM. Bisa ngerjain semua tugas mu mulai dari makalah jurnal surat kuasa hukum acara jawab soal budel klinis dll Open juga joki judul skripsi hukum outline dan proposal Fee murah kerja ga asal bayar diakhir","2037045568384753699","","","in","","0","0","0","https://x.com/undefined/status/2037045568384753699","1198820683163127808",
"2036829248325890542","Wed Mar 25 23:04:37 +0000 2026","0","@tanyarlfes aa sunda pengangguran sugan ya org lg nugas udh pasti cape masi dituntut buat kasi perhatian penuh sm yg ga ngapa² in.","2036942356835127314","","tanyarlfes","in","","0","0","0","https://x.com/undefined/status/2036942356835127314","1933043122910679040",
"2036892795622089212","Wed Mar 25 19:47:40 +0000 2026","0","Kmrn cape bgt habis nugas sampe ga tidur dan harus lanjut nugas lagi jadi aku nugas di cafe sendiri. Cafenya emg cafe kecil sepi gitu. Tp krn saking capenya aku cuma bengong aj di depan laptop dan lgsg pulang. Aku di jalan ngasihanin diri sendiri krn kaya lg hilang arah bgt..","2036892795622089212","","","in","","0","0","0","https://x.com/undefined/status/2036892795622089212","1281444815117225984",
"2036642155515785586","Wed Mar 25 03:11:43 +0000 2026","0","ya allah cape nugas","2036642155515785586","","","in","","0","0","0","https://x.com/undefined/status/2036642155515785586","1425597143335591937",
"2036478440048828895","Tue Mar 24 16:21:10 +0000 2026","0","di rl cape nugas di sini cape baca ribut","2036478440048828895","","","in","","0","0","0","https://x.com/undefined/status/2036478440048828895","1899939735034093576",
"2036442718684192837","Tue Mar 24 13:59:14 +0000 2026","0","Sumpah secape capenya kuliah bakal lebih cape sekelompok sama org yg males baca males nugas males males males semuanya dia males","2036442718684192837","","","in","","0","1","0","https://x.com/undefined/status/2036442718684192837","1381935368463773702",
"2036352318690697320","Tue Mar 24 08:00:01 +0000 2026","0","jujur udh cape banget nugas mulu","2036352318690697320","","","in","","0","0","0","https://x.com/undefined/status/2036352318690697320","4750792959",
"2036279098490896836","Tue Mar 24 05:27:19 +0000 2026","0","@99lovingmk cape euy. ga nugas nugas jdnyah tp mayan c thr","2036313890859131066","","99lovingmk","in","","0","0","0","https://x.com/undefined/status/2036313890859131066","2017637749629849603",
"2036276961128096175","Tue Mar 24 03:00:34 +0000 2026","0","nugas tuh cape bgt ya","2036276961128096175","","","in","","0","1","0","https://x.com/undefined/status/2036276961128096175","1658451283962118144",
"2036081234359767284","Mon Mar 23 14:02:49 +0000 2026","0","alah kontolbacain hate komen bikin cape cok mending dangdutan anjir oh iya drop ht gw mau nugas dl. ENDLESS LOVE FOR HEESEUNG #AlwaysTogetherHEESEUNG #희승아_항상_함께_있어줘 #HEESEUNG #희승","2036081234359767284","","","in","","0","1","0","https://x.com/undefined/status/2036081234359767284","1349336056064212992",
"2035986194287522099","Mon Mar 23 07:45:10 +0000 2026","0","Cape banget padahal belom beres emg ga ahli nugas sendiri di tempat sepi gampang bosan","2035986194287522099","","","in","","0","0","0","https://x.com/undefined/status/2035986194287522099","1903432672510455808",
"2035924386855964804","Mon Mar 23 04:18:55 +0000 2026","0","@naflanyaa kalo normalisasi kurang tidur dan burnout gila gilaan demi balance akademik organisasi dan lomba gmn tuh kak","2035934289083396547","","naflanyaa","in","","0","1","0","https://x.com/undefined/status/2035934289083396547","1559512457353170947",
"2035768797710418307","Sun Mar 22 17:21:18 +0000 2026","0","pecah bgt perasaan gua mlm ini cape nugas sakit badan perut haid day 1 segala gala nya ya allah","2035768797710418307","","","in","","1","0","0","https://x.com/undefined/status/2035768797710418307","1268490517215506433",
"2035395423586967829","Sun Mar 22 10:39:22 +0000 2026","1","@wrixlecalm Aku jg pernah lagi lagi post foto laptop sama perpus gitu pas skripsian dibuat story sama dia dg caption seakan2 cape nugas. Padahal dia blgnya kuliah di unpad masa iya perpus kampus swasta di crb dia jg blg kuliah di unpad bohong ternyata","2035667646826586348","","wrixlecalm","in","","0","0","0","https://x.com/undefined/status/2035667646826586348","1248170058708209669",
"2032023272309887271","Thu Mar 12 09:17:55 +0000 2026","0","gue cape bngt nugas wallaaahi","2032023272309887271","","","in","","0","0","0","https://x.com/undefined/status/2032023272309887271","1473974749797646336",
"2031763625803948156","Wed Mar 11 16:06:11 +0000 2026","0","Cape bgt deh org org udah libur gua masi kelas dan nugas :(","2031763625803948156","","","in","","0","0","0","https://x.com/undefined/status/2031763625803948156","1801977609607385088",
"2031755791904981184","Wed Mar 11 15:35:03 +0000 2026","9","aku kan mau konsul ke psikolog dari kampus ya krn burnout jd caregiver. masa sm adminnya suruh konfirmasi ke dospem dulu pdhl ini ga berkaitan sm akademik dan aku nya gamau aja makin banyak org tau ttg masalahku. kalo aku nolak gpp kan? ","2031755791904981184","","","in","","0","2","0","https://x.com/undefined/status/2031755791904981184","1331650559518990336",
"2031734741712671158","Wed Mar 11 14:11:24 +0000 2026","0","Kenapa org ribet bgt dah w mau nugas susah masalahnya w udah cape bgt jujur abis event tudey seharian","2031734741712671158","","","in","","0","0","0","https://x.com/undefined/status/2031734741712671158","1304573348811141124",
"2031696902845276244","Wed Mar 11 11:41:03 +0000 2026","0","cape nugas","2031696902845276244","","","es","","0","0","0","https://x.com/undefined/status/2031696902845276244","1559137593287393280",
"2031416140015219080","Tue Mar 10 17:05:24 +0000 2026","0","baru kelar nugas cape bgt badan","2031416140015219080","","","in","","0","0","0","https://x.com/undefined/status/2031416140015219080","1681926479792463872",
"2031415974973616132","Tue Mar 10 17:04:44 +0000 2026","0","Ini kapan libur siiii gw cape nugas stiap hri ","2031415974973616132","","","in","","0","0","0","https://x.com/undefined/status/2031415974973616132","1800490286885552128",
"2031357666157883894","Tue Mar 10 13:13:03 +0000 2026","0","gue nugas dulu deh tugas banyakbbgt gilaa.. abis ini mau self reward dengan bermalas malasan &amp; nonton rachalog :( huhu cape bangetttttt ‍️ gasukaa kuliah lemess gue.","2031357666157883894","","","in","","0","1","0","https://x.com/undefined/status/2031357666157883894","1420986696594714626",
"2031194522588491806","Tue Mar 10 02:24:46 +0000 2026","2","ak udh gpny energi buat nugas jir..... cape bgt","2031194522588491806","","","in","","0","5","0","https://x.com/undefined/status/2031194522588491806","1937917951757455361",
"2031185507871502396","Tue Mar 10 01:48:57 +0000 2026","5","lagi ngejar organisasi sm akademik tp burnout sendiri aowkow. Jadi smt ini fokus lomba ama push akademik lg. Organisasi pause dlu","2031185507871502396","","","in","","0","1","0","https://x.com/undefined/status/2031185507871502396","1646381470758604801",
"1976744180425818130","Fri Oct 10 20:20:30 +0000 2025","0","tapi rasanya udh kebangun trus mandi sama nugas aja dh syukur karena biasanya pulang kampus langsung tepar apalagi pulang malem cape wkwkwk","1976744670161256761","","twinskookie","in","","0","0","0","https://x.com/undefined/status/1976744670161256761","1298503663288111105",
"1976611778965725494","Fri Oct 10 11:32:26 +0000 2025","0","cape banget hari ini masih harus nugas amcisss. maaf ya jarang berinteraksi ","1976611778965725494","","","in","","0","5","0","https://x.com/undefined/status/1976611778965725494","1858042078833651712",
"1976307706429571373","Thu Oct 09 16:04:42 +0000 2025","0","@martinlucu rebahan aja cape habis nugas","1976317907929006125","","martinlucu","in","","0","1","0","https://x.com/undefined/status/1976317907929006125","1378550789124227072",
"1976310105072406575","Thu Oct 09 15:56:56 +0000 2025","0","@chocofrappp lagi burnout stress akademik","1976315953936990241","","chocofrappp","in","","0","1","0","https://x.com/undefined/status/1976315953936990241","1605227811102302210",
"1976299102037270876","Thu Oct 09 14:59:10 +0000 2025","0","@HarrisCainee Ayyiss cape bgt masi nugas jam segini","1976301416970059931","","HarrisCainee","in","","0","0","0","https://x.com/undefined/status/1976301416970059931","1390245447105531906",
"1976289626060173541","Thu Oct 09 14:56:59 +0000 2025","0","@ourdailydoo harii inii full nugas di kelas pliss.. cape poll.. jd baru sempet buka twt malem² ginii kalau kakaa hari ini ngapaaainn?? gimana harinyaa??","1976300869084905909","","ourdailydoo","in","","0","1","0","https://x.com/undefined/status/1976300869084905909","1971243559274926080",
"1975928594049425424","Thu Oct 09 09:22:41 +0000 2025","1","@KucengTerbanggg Tema : 1. Keseimbangan antara dunia digital dan real life 2. Mengatasi stres dan burnout 3. Mengatasi prokrastinasi akademik 4. meningkatkan kepercayaan diri 5. mengelola emosi yang tidak stabil NB : pas masuk matkul pak fuad harus dan tersusun 10 tema‼️","1976216739282309552","","KucengTerbanggg","in","","0","0","0","https://x.com/undefined/status/1976216739282309552","1170553622393839616",
"1976145986604105811","Thu Oct 09 04:41:32 +0000 2025","0","padahal niatnya pagi pagi tuh mau nugas sampe mau berangkat ke kampus tp ternyata cape bgt malah tidur lgi","1976145986604105811","","","in","","0","0","0","https://x.com/undefined/status/1976145986604105811","1343170928088211458",
"1976103360211325341","Thu Oct 09 01:52:09 +0000 2025","3","Wkkwwk dari senin bilang usapin dulu rambut kk mau rehat btr abis itu mau begadang nugas tp di ledek adek2 aku bjil katanya begadang apaan baru di usap sebentar udah pules tp emg cape sih sampe rumah jam 11 niat nugas dlu sampe jam 12 mau lurusin punggung mlh bablas","1976103360211325341","","","in","","0","0","0","https://x.com/undefined/status/1976103360211325341","1186143907446321152",
"1975878312015908888","Wed Oct 08 10:57:54 +0000 2025","0","mw nugas tp mager+cape bgt yaallah","1975878312015908888","","","in","","0","0","0","https://x.com/undefined/status/1975878312015908888","1227133195449073669",
"1975577068424528282","Tue Oct 07 15:00:52 +0000 2025","1","cape bgt :((( smgt twtw smgt nugas smgt uts tepuk sakinah ","1975577068424528282","","","in","","0","2","0","https://x.com/undefined/status/1975577068424528282","1810720471090176000",
"1975552301260825036","Tue Oct 07 13:22:27 +0000 2025","0","Iyes abis beresin desain 4 kmrn aku tidur lalu mimpi ngerjain lagi itu desain GW CAPE BGT TIDUR PUN NUGAS Mana di mimpi itu selain dipantau Ning ge dipantau dosen ku juga ","1975552301260825036","","","in","","0","0","0","https://x.com/undefined/status/1975552301260825036","1477767586423005190",
"1975379507055108428","Tue Oct 07 01:55:49 +0000 2025","0","Ponakan ku bru kelas 3 SD liat gw nugas kuliah terus tanya kuliah brapa lama? Sulit? Terus bilang nanti g mau kuliah. Soalnya nambah in kerjaan cape sekolah. oh dear trust me im ready to risk it all just to back to school again","1975379507055108428","","","in","","0","0","0","https://x.com/undefined/status/1975379507055108428","1562442344380911617",
"1975257897291686107","Mon Oct 06 17:52:35 +0000 2025","2","DAMN ABIS CAPE NUGAS DISUGUHI BITONEMI kan jadi enak","1975257897291686107","","","in","","0","2","1","https://x.com/undefined/status/1975257897291686107","1801305197349871616",
"1975244856449708056","Mon Oct 06 17:00:46 +0000 2025","0","baru kali ini nugas sampe malam terasa cape bgt biasa seger2 aja jir","1975244856449708056","","","in","","0","0","0","https://x.com/undefined/status/1975244856449708056","1455922266882019336",
"1975223024866804089","Mon Oct 06 15:34:01 +0000 2025","3","Cape nugas:) https://t.co/cwNamoSbJk","1975223024866804089","https://pbs.twimg.com/media/G2lm3rYaUAAOcL5.jpg","","es","","0","1","0","https://x.com/undefined/status/1975223024866804089","1754318150034915328",
"1975211678246838396","Mon Oct 06 14:48:56 +0000 2025","0","Abis cape nugas dikasih pap begini sama esan emang MANTAPPP ilysm pls banyak banyak kirfot yah","1975211678246838396","","","in","","0","0","0","https://x.com/undefined/status/1975211678246838396","1915401006466424840",
"1975196768154579186","Mon Oct 06 14:05:06 +0000 2025","0","@oPrwetty heh kemana aja ? pasti adel cape nugas semangat terussss yaaa sampe nanti bisa buka apotik sendiri ","1975200649395732626","","oPrwetty","in","","0","0","0","https://x.com/undefined/status/1975200649395732626","1439653379257487360",
"1975180270073765943","Mon Oct 06 12:44:08 +0000 2025","0","hue sedih aku cape nugas gini trs:(","1975180270073765943","","","in","","0","0","0","https://x.com/undefined/status/1975180270073765943","1538727057412493313",
"1974883603558678669","Mon Oct 06 06:13:44 +0000 2025","0","@reaanuuu CAPE NUGAS mau metong","1975082024034828522","","reaanuuu","in","","0","1","0","https://x.com/undefined/status/1975082024034828522","1215121323631923200",
"1975082000622158195","Mon Oct 06 06:13:38 +0000 2025","0","gue baru tau ut majuin deadline diskusi.. bnr2 jadi cmn seminggu? gile bro gue sambil kerja pp bisa 1 5 jam ditoko 9 jam udh cape bgt dan harus nugas tapi cmn dikasih waktu seminggu tuh gmn caranya deh?","1975082000622158195","","","in","","0","0","0","https://x.com/undefined/status/1975082000622158195","987653474744594432",
"1974852166344175954","Sun Oct 05 15:00:22 +0000 2025","0","cape bgt habis nugas badan pada encok smua grgr kelamaan duduk","1974852166344175954","","","in","","0","1","0","https://x.com/undefined/status/1974852166344175954","1968304421605142529",
"1974789128714870931","Sun Oct 05 10:49:52 +0000 2025","0","Cape bgt gue 5 jam duduk mulu di kendaraan It's time to rest! Tp ntar malem hrs lanjut nugas jga duh.. kuat-kuat pacarnya awon ","1974789128714870931","","","in","","0","2","0","https://x.com/undefined/status/1974789128714870931","1308202019841216513",
"1974753683834589642","Sun Oct 05 08:29:02 +0000 2025","0","Gila cape bgt lagi nugas zoom gmeet harus bertarung sama jaringan tri yang ilang-ilangan ‍","1974753683834589642","","","in","","0","0","0","https://x.com/undefined/status/1974753683834589642","1888190273097969665",
